delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
constant,independent,exponential,0.3,9000,2,24,3,0,0,0.0020256925007916147,565.938508631773
constant,independent,exponential,0.3,9000,3,24,3,0,0,0.005294888473885468,217.98262162715497
constant,independent,exponential,0.3,9000,4,24,3,0,0,0.008564628835838837,135.12369065752875
constant,independent,exponential,0.3,9000,5,24,3,0,0,0.03950562780801768,29.3650080569113
constant,independent,exponential,0.6,9000,0,12,3,12,3,0.0003920710656846495,2621.5679717146563
constant,independent,exponential,0.6,9000,1,24,3,12,0,0.00018966915582806728,5584.373369668923
constant,independent,exponential,0.6,9000,2,24,3,0,0,0.0016094383386396987,668.399112784229
constant,independent,exponential,0.6,9000,3,24,3,0,0,0.0032315878233987357,333.3023494620427
constant,independent,exponential,0.6,9000,4,24,3,0,0,0.004513904295702732,238.65522610658812
constant,independent,exponential,0.6,9000,5,24,3,0,0,0.015880386058666013,67.83840451120113
constant,independent,exponential,0.9,9000,0,12,3,12,3,0.0003920710656846495,2621.5679717146563
constant,independent,exponential,0.9,9000,1,24,3,12,0,0.0001877403153721922,5560.547755071031
constant,independent,exponential,0.9,9000,2,24,3,0,0,0.001241959198795141,844.77561869219
constant,independent,exponential,0.9,9000,3,24,3,0,0,0.0021057916436944667,498.3297859901511
constant,independent,exponential,0.9,9000,4,24,3,0,0,0.0024726744921357144,424.39468473814884
constant,independent,exponential,0.9,9000,5,24,3,0,0,0.007497604285144446,139.96344919284851
perturbed,identical,equalized,0.0,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,identical,equalized,0.0,9000,1,12,7,0,4,0.00891850206108636,166.2361358450176
perturbed,identical,equalized,0.0,9000,2,12,8,0,1,0.03476370709154375,52.13056721700958
perturbed,identical,equalized,0.0,9000,3,12,9,0,1,0.1529102724230483,13.639476939440465
perturbed,identical,equalized,0.0,9000,4,12,10,0,1,0.6049961766253207,3.748896545343147
perturbed,identical,equalized,0.0,9000,5,12,11,0,1,0.9951481230824978,2.445785793805144
perturbed,identical,exponential,0.3,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,identical,exponential,0.3,9000,1,12,5,0,2,0.007205698391021974,181.13108980634775
perturbed,identical,exponential,0.3,9000,2,12,6,0,1,0.02251948589752831,63.16670467251692
perturbed,identical,exponential,0.3,9000,3,12,7,0,1,0.0738507346858355,20.04326392637825
perturbed,identical,exponential,0.3,9000,4,12,7,0,0,0.19880127943723597,7.544973177508424
perturbed,identical,exponential,0.3,9000,5,12,7,0,0,0.2725200262989905,5.529842013482186
perturbed,identical,exponential,0.6,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,identical,exponential,0.6,9000,1,12,5,0,2,0.005963974277098229,200.6805471052666
perturbed,identical,exponential,0.6,9000,2,12,5,0,0,0.014805583615900357,83.42511326426079
perturbed,identical,exponential,0.6,9000,3,12,5,0,0,0.03619904661670248,34.37845333224147
perturbed,identical,exponential,0.6,9000,4,12,5,0,0,0.0682653308002569,18.24917866294985
perturbed,identical,exponential,0.6,9000,5,12,5,0,0,0.08020284493958686,15.53564937417863
perturbed,identical,exponential,0.9,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,identical,exponential,0.9,9000,1,12,5,0,2,0.005070258144774349,223.47753742257436
perturbed,identical,exponential,0.9,9000,2,12,5,0,0,0.009862198978449763,116.1078632230741
perturbed,identical,exponential,0.9,9000,3,12,5,0,0,0.01791179680952866,64.00173552201267
perturbed,identical,exponential,0.9,9000,4,12,5,0,0,0.025343956129078096,45.235368812867115
perturbed,identical,exponential,0.9,9000,5,12,5,0,0,0.027054093143425485,42.37610111052437
perturbed,rotation,equalized,0.0,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,rotation,equalized,0.0,9000,1,24,7,12,4,0.00027621462715403085,5295.863436343428
perturbed,rotation,equalized,0.0,9000,2,24,7,0,0,0.003220216287481817,545.1677243165992
perturbed,rotation,equalized,0.0,9000,3,24,9,0,2,0.011749600782758985,166.01757173309983
perturbed,rotation,equalized,0.0,9000,4,24,11,0,2,0.040457370213272385,50.101171524220945
perturbed,rotation,equalized,0.0,9000,5,24,13,0,2,0.05402145791034148,39.685532424390885
perturbed,rotation,exponential,0.3,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,rotation,exponential,0.3,9000,1,24,5,12,2,0.0002748551826423387,4690.081075349003
perturbed,rotation,exponential,0.3,9000,2,24,6,0,1,0.0027423080482454855,505.0020850521183
perturbed,rotation,exponential,0.3,9000,3,24,6,0,0,0.007409183562332518,191.019418494287
perturbed,rotation,exponential,0.3,9000,4,24,6,0,0,0.017728740664326365,80.09976940114032
perturbed,rotation,exponential,0.3,9000,5,24,6,0,0,0.022526958935985556,63.24293130014109
perturbed,rotation,exponential,0.6,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,rotation,exponential,0.6,9000,1,24,5,12,2,0.00027242051060013633,4351.366766006232
perturbed,rotation,exponential,0.6,9000,2,24,5,0,0,0.002335946091159999,519.8322193332903
perturbed,rotation,exponential,0.6,9000,3,24,5,0,0,0.004663421617891846,261.16311030476083
perturbed,rotation,exponential,0.6,9000,4,24,5,0,0,0.007875397820514617,154.67456241027514
perturbed,rotation,exponential,0.6,9000,5,24,5,0,0,0.009416972154692636,129.36598494158125
perturbed,rotation,exponential,0.9,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,rotation,exponential,0.9,9000,1,24,4,12,1,0.0002681206417432249,4198.5090018806495
perturbed,rotation,exponential,0.9,9000,2,24,4,0,0,0.0019185051048132098,591.2366491657598
perturbed,rotation,exponential,0.9,9000,3,24,4,0,0,0.0030034399754579597,377.81323367177504
perturbed,rotation,exponential,0.9,9000,4,24,4,0,0,0.0038160907750237837,297.35901678089186
perturbed,rotation,exponential,0.9,9000,5,24,4,0,0,0.004198429508507242,270.27994881613057
perturbed,rotation_shear,equalized,0.0,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,rotation_shear,equalized,0.0,9000,1,24,7,12,4,0.0001805548003700441,8838.29211358797
perturbed,rotation_shear,equalized,0.0,9000,2,24,8,0,1,0.002673147575527938,783.1176512826148
perturbed,rotation_shear,equalized,0.0,9000,3,24,11,0,3,0.012684432104834357,198.2369618247682
perturbed,rotation_shear,equalized,0.0,9000,4,24,13,0,2,0.03699041684775677,74.67872951171579
perturbed,rotation_shear,equalized,0.0,9000,5,24,15,0,2,0.08232104720282162,39.39196573712626
perturbed,rotation_shear,exponential,0.3,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,rotation_shear,exponential,0.3,9000,1,24,5,12,2,0.0001798617567516877,7636.4761696679625
perturbed,rotation_shear,exponential,0.3,9000,2,24,7,0,2,0.0022484126218305193,689.8153890577473
perturbed,rotation_shear,exponential,0.3,9000,3,24,7,0,0,0.00811157879150949,201.19074488880952
perturbed,rotation_shear,exponential,0.3,9000,4,24,7,0,0,0.01678658962367185,98.39954742336812
perturbed,rotation_shear,exponential,0.3,9000,5,24,7,0,0,0.026641701324953783,62.61212026069226
perturbed,rotation_shear,exponential,0.6,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,rotation_shear,exponential,0.6,9000,1,24,5,12,2,0.0001786176303533042,6921.8475539221745
perturbed,rotation_shear,exponential,0.6,9000,2,24,5,0,0,0.0019103635147687547,676.889776569351
perturbed,rotation_shear,exponential,0.6,9000,3,24,5,0,0,0.005113701396376522,255.15275560518091
perturbed,rotation_shear,exponential,0.6,9000,4,24,5,0,0,0.007879420344986544,165.74752995124277
perturbed,rotation_shear,exponential,0.6,9000,5,24,5,0,0,0.009705272871961384,134.62687397588593
perturbed,rotation_shear,exponential,0.9,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
perturbed,rotation_shear,exponential,0.9,9000,1,24,5,12,2,0.00017641072943803984,6548.93973828799
perturbed,rotation_shear,exponential,0.9,9000,2,24,5,0,0,0.0015980999478449494,733.6701806746961
perturbed,rotation_shear,exponential,0.9,9000,3,24,5,0,0,0.0032555901978444336,360.5774272167349
perturbed,rotation_shear,exponential,0.9,9000,4,24,5,0,0,0.004039840357611657,290.5908460854762
perturbed,rotation_shear,exponential,0.9,9000,5,24,5,0,0,0.004317221032007548,271.92309008735106
perturbed,independent,equalized,0.0,9000,0,12,3,12,3,0.00031643983901872956,3321.207138080738
perturbed,independent,equalized,0.0,9000,1,24,3,12,0,0.00011772860061105913,11570.693359421915
perturbed,independent,equalized,0.0,9000,2,24,4,0,1,0.0020662352212050443,766.4337155741423
perturbed,independent,equalized,0.0,9000,3,24,6,0,2,0.011348074545463787,142.9003207411714
perturbed,independent,equalized,0.0,9000,4,24,6,0,0,0.06554698138811231,25.634714391272343
perturbed,independent,equalized,0.0,9000,5,24,9,0,3,0.08957840604090823,19.001929874180565
perturbed,independent,exponential,0.3,9000,0,12,3,12,3,0.00031643983901872956,3321.207138080738
perturbed,independent,exponential,0.3,9000,1,24,3,12,0,0.00011731543670240038,10462.903888817318
perturbed,independent,exponential,0.3,9000,2,24,3,0,0,0.0017201090119549746,753.4636132469752
perturbed,independent,exponential,0.3,9000,3,24,3,0,0,0.0069599580838170935,186.93640698582672
perturbed,independent,exponential,0.3,9000,4,24,3,0,0,0.03104861492545004,42.06051383059474
perturbed,independent,exponential,0.3,9000,5,24,3,0,0,0.0555358745237507,23.525530778758657
perturbed,independent,exponential,0.6,9000,0,12,3,12,3,0.00031643983901872956,3321.207138080738
perturbed,independent,exponential,0.6,9000,1,24,3,12,0,0.00011657174341063248,9859.793712845638
perturbed,independent,exponential,0.6,9000,2,24,3,0,0,0.001389613409821215,841.7945905786486
perturbed,independent,exponential,0.6,9000,3,24,3,0,0,0.004288721687296623,272.9196699956244
perturbed,independent,exponential,0.6,9000,4,24,3,0,0,0.014346433336368827,81.60245657794631
perturbed,independent,exponential,0.6,9000,5,24,3,0,0,0.022066847729455292,53.05312735346718
perturbed,independent,exponential,0.9,9000,0,12,3,12,3,0.00031643983901872956,3321.207138080738
perturbed,independent,exponential,0.9,9000,1,24,3,12,0,0.0001152463469470783,9591.317400032096
perturbed,independent,exponential,0.9,9000,2,24,3,0,0,0.0010843438246441646,1024.9978554054794
perturbed,independent,exponential,0.9,9000,3,24,3,0,0,0.0026756021574692304,415.4437893758818
perturbed,independent,exponential,0.9,9000,4,24,3,0,0,0.006689637440531219,166.1637313537002
perturbed,independent,exponential,0.9,9000,5,24,3,0,0,0.007956183765706627,139.71213397501518
cell_dependent,identical,equalized,0.0,9000,0,22,2,22,2,2.520861126977705e-08,41461424.3373979
cell_dependent,identical,equalized,0.0,9000,1,22,6,0,4,0.0005931901649267043,2481.8868177984286
cell_dependent,identical,equalized,0.0,9000,2,22,6,0,0,0.004807742399597487,373.71537899825773
cell_dependent,identical,equalized,0.0,9000,3,22,8,0,2,0.010771576929933213,191.80410504381985
cell_dependent,identical,equalized,0.0,9000,4,22,8,0,0,0.045202410996659,50.106644261832656
cell_dependent,identical,equalized,0.0,9000,5,22,10,0,2,0.06066937361359133,40.00052688774926
