run_id,config_hash,delay_structure,spatial_structure,attenuation,gamma,seed,readout,source_class,source_dimension,data_dimension,max_order,arm,numerical_rank,operational_rank,nullity,operational_nullity,sigma_max,sigma_min_positive,restricted_sigma_min,kappa_positive,stable_rank,effective_rank,trace_information,rank_rel_1e-08,rank_rel_1e-10,rank_rel_1e-12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,direct_only,localized_atoms,24,48,5,factorial,20,0,4,24,0.81626032688797,1.9563210740568865e-13,1.9563210740568865e-13,4172425159205.9194,3.0436070973151685,8.533312657310248,2.027897340726011,17,18,19
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,direct_only,orbit_tangent,24,48,5,factorial,24,0,0,24,0.7728868967067042,0.00016043035646612355,0.00016043035646612355,4817.585111268558,8.13474047375743,17.03413091121155,4.859321022666625,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,resolved,full,264,288,5,factorial,48,48,216,216,2.5803907073290646,2.311186664363095,2.311186664363095,1.116478710749292,43.25352925417243,47.92732801643674,288.00000000000006,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,resolved,smooth_separable,24,288,5,factorial,12,8,12,16,2.573090026581457,0.0018778906544351301,0.0018778906544351301,1370.2022641757292,5.844154918438092,8.170657308452418,38.69293579571419,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,resolved,localized_atoms,24,288,5,factorial,20,4,4,20,1.9994212981529271,4.791993279367734e-13,4.791993279367734e-13,4172420914615.1704,3.0436070973151677,8.533312657310248,12.167384044356067,17,18,19
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,resolved,orbit_tangent,24,288,5,factorial,24,10,0,14,1.893178525814594,0.0003929725125948118,0.0003929725125948118,4817.585111268641,8.134740473757434,17.03413091121155,29.155926135999767,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,partial_leakage_eps0.1,full,264,288,5,factorial,48,48,216,216,2.812648137874577,2.519213408007532,2.519213408007532,1.116478710749291,43.25352925417245,47.927328016436824,342.17821782178197,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,partial_leakage_eps0.1,smooth_separable,24,288,5,factorial,12,8,12,16,2.804690332860148,0.0020469170181581908,0.0020469170181581908,1370.202264175711,5.8441549184380905,8.170657308452414,45.97180490579903,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,partial_leakage_eps0.1,localized_atoms,24,288,5,factorial,20,4,4,20,2.179386468531194,5.223302887287605e-13,5.223302887287605e-13,4172429812246.4844,3.0436070973151703,8.533312657310248,14.456297874482448,17,18,19
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,partial_leakage_eps0.1,orbit_tangent,24,288,5,factorial,24,12,0,12,2.0635809298849357,0.000428343429793968,0.000428343429793968,4817.585111268107,8.134740473757429,17.03413091121155,34.64070431999971,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,unresolved_sum,full,264,48,5,factorial,48,48,216,216,2.5803907073290633,2.3111866643630967,2.3111866643630967,1.1164787107492904,43.25352925417246,47.927328016436,288.0,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,unresolved_sum,smooth_separable,24,48,5,factorial,12,8,12,16,2.5730900265814585,0.0018778906544352153,0.0018778906544352153,1370.2022641756678,5.844154918438089,8.17065730845241,38.692935795714206,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,unresolved_sum,localized_atoms,24,48,5,factorial,20,4,4,20,1.999421298152927,4.792022814086813e-13,4.792022814086813e-13,4172395198694.28,3.043607097315167,8.533312657310248,12.167384044356064,17,18,19
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9002,unresolved_sum,orbit_tangent,24,48,5,factorial,24,10,0,14,1.8931785258145946,0.0003929725125948328,0.0003929725125948328,4817.585111268386,8.134740473757429,17.03413091121155,29.155926135999774,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,direct_only,full,264,48,5,factorial,48,24,216,240,1.0534400949959282,0.943538004669112,0.943538004669112,1.1164787107492904,43.25352925417247,47.927328016436,47.999999999999986,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,direct_only,smooth_separable,24,48,5,factorial,12,3,12,21,1.0504596045614962,0.0007666456493512071,0.0007666456493512071,1370.2022641757294,5.844154918438089,8.170657308452403,6.448822632619034,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,direct_only,localized_atoms,24,48,5,factorial,21,0,3,24,0.9872300543366456,2.574292765408611e-11,2.574292765408611e-11,38349564105.61738,4.82340686968405,11.321014250148973,4.701004142660231,20,20,21
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,direct_only,orbit_tangent,24,48,5,factorial,24,0,0,24,0.7728868967067042,0.00016043035646612355,0.00016043035646612355,4817.585111268558,8.13474047375743,17.03413091121155,4.859321022666625,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,resolved,full,264,288,5,factorial,48,48,216,216,2.5803907073290646,2.311186664363095,2.311186664363095,1.116478710749292,43.25352925417243,47.92732801643674,288.00000000000006,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,resolved,smooth_separable,24,288,5,factorial,12,8,12,16,2.573090026581457,0.0018778906544351301,0.0018778906544351301,1370.2022641757292,5.844154918438092,8.170657308452418,38.69293579571419,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,resolved,localized_atoms,24,288,5,factorial,21,8,3,16,2.4182098918648918,6.305703951457598e-11,6.305703951457598e-11,38349562721.00134,4.823406869684051,11.321014250148973,28.206024855961367,20,20,21
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,resolved,orbit_tangent,24,288,5,factorial,24,10,0,14,1.893178525814594,0.0003929725125948118,0.0003929725125948118,4817.585111268641,8.134740473757434,17.03413091121155,29.155926135999767,24,24,24
